daytime,credit,contents,require
【その他】【】▼8/1火▼15：00～17：30,3,「働き方改革」について考える▼◇猿木秀和（当会会員）▼ 鈴木智仁（当会会員）▼ 毒島光志（当会会員）,◆大阪商工会議所▼ 大阪弁護士会▼ 日本CSR普及協会近畿支部▼□当会会員／無料▼■大阪弁護士会館
【家事】【】▼8/2水▼10：00～12：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼8/3木▼13：00～15：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼8/4金▼10：00～12：30,3,障害者刑事弁護活動に関する会員向け連続研修③医療観察法について▼ （2015/11/27ライブ実施分DVD研修）▼◇池田直樹（38期）（当会会員）▼ 東 奈央（当会会員）▼ 小坂梨緑菜（当会会員）▼ 森口秀樹（八戸ノ里クリニック院長）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼8/7月▼18：00～20：30,3,ひまわり支援弁護士登録研修▼ ①法律相談基礎研修（2016/12/1ライブ実施分DVD研修）▼◇中西 基（当会会員）▼ 徳村初美（当会会員）▼ 小谷真由香（当会会員）▼ 近藤厚志（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼8/8火▼15：00～17：00,2,成年後見研修①成年後見総論（2017/1/13ライブ実施分DVD研修）▼◇井上計雄（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼8/17木▼10：00～12：00,2,成年後見研修③身上監護の実務（2017/2/24ライブ実施分DVD研修）▼◇梅津和弘（社会福祉士）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼8/21月▼16：00～18：00,2,成年後見研修⑤市町村長申立、高齢者・障がい者虐待編▼ （2017/3/24ライブ実施分DVD研修）▼◇泉田健司（当会会員）▼ 斉藤亮仁（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼8/22火▼13：00～15：50,3,捜査弁護基礎研修（2017/4/28ライブ実施分DVD研修）【本研修は新規登録弁護士研修・集合必修研修に指定されています。新規登録弁護士研修としての受講は、継続研修の単位に算入されません。】▼◇鈴木一郎（当会会員）▼ 藤原 航（当会会員）▼ 他、当会会員,◆研修センター▼ 刑事弁護委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼8/22火▼15：00～17：00,2,成年後見研修⑦成年後見アドバンス研修「後見制度支援信託」～検討事案の実務上の留意点～（2015/9/25ライブ実施分DVD研修）▼◇青木佳史（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼8/22火▼16：30～19：00,3,公判弁護基礎研修（2017/5/31ライブ実施分DVD研修）【本研修は新規登録弁護士研修・集合必修研修に指定されています。新規登録弁護士研修としての受講は、継続研修の単位に算入されません。】▼◇髙見秀一（当会会員）▼ 秋田真志（当会会員）ほか,◆研修センター▼ 刑事弁護委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼8/28月▼18：00～20：00,2,各種法人の実務 第1回「宗教法人の実務（仮）」▼◇宮部千晶（当会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼8/24木▼14：00～16：00,2,成年後見研修④成年後見アドバンス研修「任意後見研修」▼ （2016/8/29ライブ実施分DVD研修）▼◇髙田泰治（公証人）▼ 溝上絢子（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【遺言・相続】▼8/31木▼10：00～12：00,2,遺言・相続専門相談弁護士登録研修①▼ 「相続実務に活かすための相続税法の知識」▼◇坪多晶子（税理士）▼ ほか当会会員,◆遺言・相続センター運営委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/1金▼10：00～12：00,2,【日弁連ライブ実務研修】養育費・婚姻費用の算定方式・算定表の仕組みと諸事情がある場合の対応（2017/7/19日弁連ライブ実施分DVD研修）▼◇竹下博將（第二東京弁護士会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/1金▼10：00～12：30,3,ひまわり支援弁護士登録研修▼ ②高齢者虐待、障害者刑事弁護入門、精神保健入門▼ （2015/6/30ライブ実施分DVD研修）▼◇松尾洋輔（当会会員）▼ 高橋昌子（当会会員）▼ 本田建二（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼9/1金▼13：00～15：00,2,【日弁連ライブ実務研修】海外贈収賄問題に関する法律実務▼ ―日弁連「海外贈賄防止ガイダンス（手引）」の活用方法を中心に▼ （2017/7/19日弁連ライブ実施分DVD研修）▼◇國廣 正（第二東京弁護士会会員）▼ 西垣建剛（東京弁護士会会員）▼ 高橋大祐（第一東京弁護士会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼9/1金▼16：00～19：00,3,【日弁連ライブ実務研修】よくわかる最新重要判例解説2017（労働）▼ （2017/7/20日弁連ライブ実施分DVD研修）▼◇菅野和夫（独立行政法人労働政策研究・研修機構理事長）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/4月▼16：00～18：00,2,成年後見研修②財産管理の実務（2017/2/3ライブ実施分DVD研修）▼◇井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/5火▼10：00～12：00,2,成年後見研修⑤市町村長申立、高齢者・障がい者虐待編▼ （2017/3/24ライブ実施分DVD研修）▼◇泉田健司（当会会員）▼ 斉藤亮仁（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
