"nomber","header","content"
1,"行政法","『論点解説個人情報保護法と取扱実務』宇賀克也 ほか共著（日本法令）"
2,"民法総則","『事実認定体系 民法総則編 1・2』村田 渉 著（第一法規）"
3,"債権各論","『民法改正と請負契約』升田 純 著（大成出版社）"
4,"相続法","『Ｑ＆Ａ相続人不存在・不在者財産管理の手引』野々山 哲郎 ほか共編（新日本法規）"
5,"相続法","『家族信託契約』遠藤英嗣 著（日本加除出版）"
6,"会社法","『種類株式ハンドブック』太田 洋 ほか編著（商事法務）"
7,"会社法","『事業承継相談対応マニュアル 改訂版』浅野 洋 編集（新日本法規）"
8,"会社法","『事例でみる事業承継の実務』大西隆司 編集（新日本法規）※寄贈"
9,"商事特別法","『民事信託受託者の実務』民事信託活用支援機構 編（日本法令）"
10,"家事事件","『家事法の理論・実務・判例 1』道垣内 弘人 ほか編（勁草書房）"
11,"刑事訴訟法","『大コンメンタール刑事訴訟法 第11巻 第2版』河上和雄 編（青林書院）"
12,"刑事訴訟法","『白熱・刑事事実認定』門野 博 著（青林書院）"
13,"刑事訴訟法","『新時代の刑事弁護』浦 功 編著（成文堂）※寄贈"
14,"刑事訴訟法","『実践!刑事証人尋問技術 part2』ダイヤモンドルール研究会ワーキンググループ 編著（現代人文社）※寄贈"
15,"人権擁護法","『セクシュアリティと法』谷口洋幸 ほか著（法律文化社）"
16,"経済産業法","『広告法』電通法務マネジメント局 編 （商事法務）"
17,"経済産業法","『独占禁止法 第8版』村上政博 著（弘文堂）"
18,"知的財産法","『知財実務ガイドブック』三山峻司 編著（青林書院）※寄贈"
19,"農林水産業","『農地法読本 4訂版』宮﨑直己 著（大成出版社）"
20,"交通事故関係","『後遺障害等級認定と裁判実務 改訂版』高野真人 編（新日本法規）"
21,"交通事故関係","『自動車保険実務の重要判例』丸山一朗 著（保険毎日新聞社）"
22,"労働法","『懲戒処分・解雇』労務行政研究所 編（労務行政）"
23,"労働法","『多様な派遣形態とみなし雇用の法律実務』安西 愈 著（労働調査会）"
24,"労働法","『裁判例を踏まえた病院・診療所の労務トラブル解決の実務 』田村 裕一郎 編著（日本法令）"
25,"社会厚生法","『新医療法人制度の解説』表 宏機 ほか共著（日本法令）"
26,"社会厚生法","『Ｑ＆Ａ実務家が知っておくべき社会保障』佐々木 育子 編著（日本加除出版）"
27,"出入国管理","『新版詳説入管法の実務』山脇康嗣 著（新日本法規）"
28,"出入国管理","『出入国管理制度ガイドブック』畠山 学 著（日本加除出版）"
29,"論文集","『民事法学の基礎的課題 植木哲先生古稀記念論文集』髙森 八四郎 ほか編集代表（勁草書房）"
30,"論文集","『刑事法学の未来 長井圓先生古稀記念』高橋則夫 ほか編集（信山社）"
31,"書式集","『法人登記書式精義 第1巻 改訂版』登記研究編集室 編（テイハン）"
32,"その他","『米国特許出願書類作成および侵害防止戦略』ベンジャミン J.ハウプトマン ほか共著（経済産業調査会）"
33,"その他","『略式手続 7訂第2補訂版』裁判所職員総合研修所 監修（司法協会）"
34,"その他","『民事書記官事務の解説【解説編】【記録編】3訂補訂版』裁判所職員総合研修所 監修（司法協会）"
