"number","header","content"
1,"個人情報保護法","『改正個人情報保護法と企業実務』影島広泰 著（清文社）"
2,"個人情報保護法","『ストーリーとＱ＆Ａで学ぶ改正個人情報保護法』関原秀行 著（日本加除出版）"
3,"個人情報保護法","『Ｑ＆Ａ改正個人情報保護法と企業対応のポイント』三浦亮太 ほか著（新日本法規）"
4,"行政法","『困難事例にみる用地取得・損失補償の実務』中嶋静夫 編著（新日本法規）"
5,"行政法","『所有者の所在の把握が難しい土地に関する探索・利活用のためのガイドライン 第2版』（日本加除出版）"
6,"民法総則","『公益法人・一般法人によくある質問』公益法人協会相談室 編著（公益法人協会）"
7,"債権法","『執行手続による債権回収』虎門中央法律事務所 編（民事法研究会）※寄贈"
8,"会社法","『コーポレートガバナンス・コードのすべて』中村慎二 著（商事法務）"
9,"会社法","『図解＆事例資産承継の税務・法務・会計』AGSコンサルティング ほか編（中央経済社）"
10,"会社法","『刑法からみた企業法務』佐久間 修 著（中央経済社）"
11,"会社法","『実務の視点から考える会社法』高橋 均 著（中央経済社）"
12,"会社法","『経営権争奪紛争の法律と実務Ｑ＆Ａ』経営紛争研究会 著（日本加除出版）"
13,"会社法","『Ｍ＆Ａ・アライアンス契約書の作成と審査の実務』滝川宜信 著（民事法研究会）※寄贈"
14,"保険法","『生命保険・傷害疾病定額保険契約法実務判例集成 下』長谷川 仁彦 ほか共著（保険毎日新聞社）"
15,"信託法","『REITのすべて 第2版』新家 寛 ほか編（民事法研究会）※寄贈"
16,"刑事特別法","『経済刑法』芝原邦爾 著（商事法務）"
17,"民事訴訟法","『要件事実マニュアル 4・5 第5版』岡口基一 著（ぎょうせい）"
18,"破産法","『破産管財PRACTICE』中森 亘 ほか監修（民事法研究会）※寄贈"
19,"人事調停","『夫婦関係調停条項作成マニュアル 第6版』小磯 治 著（民事法研究会）※寄贈"
20,"刑事訴訟法","『訴訟能力を争う刑事弁護』訴訟能力研究会 編（現代人文社）※寄贈"
21,"少年法","『改正発達障害者支援法の解説』発達障害の支援を考える議員連盟 編著（ぎょうせい）"
22,"産業経済法","『Ｑ＆Ａ市民のための特定商取引法 改題新版』村 千鶴子 著（中央経済社）"
23,"産業経済法","『改正消費者契約法対応Ｑ＆Ａ消費者取引トラブル解決の手引』名古屋消費者問題研究会 編（新日本法規）"
24,"産業経済法","『コンメンタール消費者裁判手続特例法』日本弁護士連合会消費者問題対策委員会 編（民事法研究会）※寄贈"
25,"知的財産法","『知的財産権法概論』紋谷暢男 ほか著（発明推進協会）"
26,"無体財産法","『商標実務入門 第2版』片山英二 監修（民事法研究会）※寄贈"
27,"農林水産業","『ケース別農地の権利移動・転用可否判断の手引』都市農地活用支援センター 編（新日本法規）"
28,"交通事故関係","『交通事故加害者家族の現状と支援』阿部恭子 著（現代人文社）※寄贈"
29,"交通事故関係","『事例に学ぶ交通事故事件入門』交通事故事件研究会 編（民事法研究会）※寄贈"
30,"労働法","『割増賃金の基本と実務』石嵜信憲 著（中央経済社）"
31,"労働法","『募集・採用・内定・入社・試用期間』労務行政研究所 編（労務行政）"
32,"労働法","『解雇・退職・雇止め相談標準ハンドブック』藤井康広 著（日本法令）"
33,"労働法","『判例からみた労働能力喪失率の認定』宮﨑直己 著（新日本法規）"
34,"労働法","『過労死・過労自殺の救済Ｑ＆Ａ 第2版』大阪過労死問題連絡会 編（民事法研究会）※寄贈"
35,"労働法","『講座労働法の再生 第1～3巻』日本労働法学会 編集（日本評論社）"
36,"文化教育法","『""平和学""としてのスポーツ法入門』辻口信良 著（民事法研究会）※寄贈"
37,"税法","『現代租税法講座 第1～2巻』金子 宏 監修（日本評論社）"
38,"外国人問題","『事例にみる外国人の法的支援ハンドブック』神奈川青年司法書士協議会人権擁護委員会 編（民事法研究会）※寄贈"
39,"法令集","『消費者六法 2017年版』甲斐 道太郎 ほか編集（民事法研究会）※寄贈"
40,"書式集","『家事事件の申立書式と手続 新版補訂』長山義彦 ほか共著（新日本法規）"
41,"論文集","『知的財産法のモルゲンロート 土肥一史先生古稀記念論文集』外川英明 ほか編（中央経済社）"
42,"論文集","『山中敬一先生古稀祝賀論文集 上巻・下巻』井田 良ほか編集（成文堂）"
43,"論文集","『現代日本の法過程 上巻・下巻 宮澤節生先生古稀記念』上石圭一 ほか編（信山社）"
44,"その他","『芦部信喜先生記念講演録平和憲法五十年の歩み』芦部信喜 著（信山社）"
45,"その他","『ドローン・ビジネスと法規制』森・濱田松本法律事務所ロボット法研究会 編（清文社）"
